row,col,leg 1 angle,leg 1 color,leg 2 color,leg 3 color,center color
0.9340169943749475,0.5,30,1,1,1,1
1.493033988749895,0.5,90,1,1,1,1
2.5520509831248424,0.5,30,1,-1,-1,1
3.11106797749979,0.5,90,1,1,1,1
4.170084971874737,0.5,30,-1,-1,-1,-1
4.729101966249685,0.5,90,-1,1,1,1
5.788118960624632,0.5,30,1,1,-1,-1
6.34713595499958,0.5,90,-1,-1,1,-1
7.406152949374527,0.5,30,1,-1,-1,1
7.9651699437494745,0.5,90,-1,-1,-1,1
9.024186938124423,0.5,30,1,-1,-1,1
9.58320393249937,0.5,90,1,1,1,1
10.642220926874316,0.5,30,1,1,-1,-1
11.201237921249264,0.5,90,-1,1,1,-1
12.260254915624213,0.5,30,-1,1,-1,-1
12.81927190999916,0.5,90,1,-1,1,-1
13.878288904374106,0.5,30,-1,1,1,-1
0.125,1.0,30,1,1,1,1
0.6840169943749475,1.0,90,-1,1,-1,1
0.9340169943749475,1.5,30,-1,1,-1,1
1.743033988749895,1.0,30,1,1,1,1
1.493033988749895,1.5,90,-1,1,1,-1
2.3020509831248424,1.0,90,1,1,-1,1
2.5520509831248424,1.5,30,1,-1,1,1
3.36106797749979,1.0,30,-1,-1,1,-1
3.11106797749979,1.5,90,-1,1,-1,-1
3.9200849718747373,1.0,90,-1,1,-1,1
4.170084971874737,1.5,30,-1,-1,-1,-1
4.979101966249685,1.0,30,1,-1,-1,1
4.729101966249685,1.5,90,1,1,-1,-1
5.538118960624632,1.0,90,-1,1,-1,1
5.788118960624632,1.5,30,1,-1,-1,1
6.59713595499958,1.0,30,1,-1,-1,-1
6.34713595499958,1.5,90,1,-1,1,1
7.156152949374527,1.0,90,-1,-1,1,-1
7.406152949374527,1.5,30,-1,1,1,1
8.215169943749475,1.0,30,-1,-1,1,-1
7.9651699437494745,1.5,90,1,-1,1,1
8.774186938124423,1.0,90,-1,1,-1,1
9.024186938124423,1.5,30,1,1,1,1
9.83320393249937,1.0,30,1,-1,1,-1
9.58320393249937,1.5,90,1,-1,-1,1
10.392220926874316,1.0,90,1,1,1,1
10.642220926874316,1.5,30,1,-1,1,1
11.451237921249264,1.0,30,-1,1,1,1
11.201237921249264,1.5,90,-1,1,1,1
12.010254915624213,1.0,90,1,-1,1,1
12.260254915624213,1.5,30,-1,1,1,1
13.06927190999916,1.0,30,-1,-1,-1,1
12.81927190999916,1.5,90,1,-1,1,1
13.628288904374106,1.0,90,1,1,1,1
13.878288904374106,1.5,30,-1,1,1,-1
0.125,2.0,30,1,1,-1,-1
0.6840169943749475,2.0,90,-1,1,-1,-1
0.9340169943749475,2.5,30,1,1,-1,-1
1.743033988749895,2.0,30,1,1,-1,1
1.493033988749895,2.5,90,-1,-1,1,1
2.3020509831248424,2.0,90,-1,1,-1,-1
2.5520509831248424,2.5,30,1,1,-1,1
3.36106797749979,2.0,30,-1,-1,1,1
3.11106797749979,2.5,90,-1,1,-1,-1
3.9200849718747373,2.0,90,1,1,-1,-1
4.170084971874737,2.5,30,-1,-1,1,-1
4.979101966249685,2.0,30,1,1,-1,-1
4.729101966249685,2.5,90,-1,-1,1,1
5.538118960624632,2.0,90,-1,1,1,1
5.788118960624632,2.5,30,-1,1,-1,1
